Date,Advertiser ID,Advertiser,Campaign ID,Campaign,Impressions,Clicks,Click Rate,Active View: Viewable Impressions,Media Cost,Total Conversions,Click-through Conversions,View-through Conversions,Total Revenue,Cost Per Click-through Conversion
2026-07-23,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,128289,112,0.0009,72916,781.12,5,3,2,393.74,260.37
2026-07-24,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,126634,311,0.0025,88699,1075.52,7,4,3,305.92,268.88
2026-07-25,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,114904,230,0.002,62373,793.95,11,6,5,631.08,132.33
2026-07-26,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,89838,142,0.0016,53722,385.18,7,3,4,340.93,128.39
2026-07-27,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,127715,144,0.0011,73086,535.69,6,4,2,406.21,133.92
2026-07-28,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,127097,439,0.0035,70379,1006.76,8,4,4,606.77,251.69
2026-07-29,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,143839,414,0.0029,105588,556.48,28,12,16,1749.96,46.37
2026-07-30,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,140916,447,0.0032,101864,943.99,16,5,11,986.09,188.8
2026-07-31,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,95938,211,0.0022,57474,413.48,11,6,5,961.12,68.91
2026-08-01,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,165548,511,0.0031,96872,1105.08,16,10,6,882.26,110.51
2026-08-02,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,131637,333,0.0025,88706,842.9,9,4,5,765.9,210.72
2026-08-03,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,137020,318,0.0023,100650,499.01,7,3,4,481.87,166.34
2026-08-04,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,116250,224,0.0019,79764,696.36,9,5,4,790.49,139.27
2026-08-05,ADV-78421,Northwind Athletic,CM-DISP-501,CM360 | Programmatic Display Prospecting,132332,394,0.003,82785,763.25,15,9,6,911.72,84.81
