Date,Campaign ID,Campaign Name,Campaign Status,Campaign Type,Currency,Impressions,Clicks,CTR,Cost,Avg. CPC,Conversions,Cost / conv.,Conv. rate,Conversion value,Conv. value / cost
2026-07-23,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,9824,356,0.0362,253.21,0.71,21,12.06,0.059,1773.64,7.0046
2026-07-24,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,16935,666,0.0393,566.65,0.85,28,20.24,0.042,1784.87,3.1499
2026-07-25,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,16279,1060,0.0651,1042.17,0.98,103,10.12,0.0972,8554.46,8.2083
2026-07-26,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,14873,684,0.046,690.7,1.01,72,9.59,0.1053,3978.72,5.7604
2026-07-27,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,10615,742,0.0699,573.74,0.77,39,14.71,0.0526,3638.25,6.3413
2026-07-28,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,13514,542,0.0401,439.52,0.81,37,11.88,0.0683,2544.05,5.7882
2026-07-29,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,12333,929,0.0753,1062.07,1.14,77,13.79,0.0829,7232.2,6.8095
2026-07-30,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,14201,553,0.0389,402.87,0.73,50,8.06,0.0904,4520.9,11.2217
2026-07-31,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,13925,889,0.0638,995.1,1.12,39,25.52,0.0439,2500.52,2.5128
2026-08-01,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,12741,1074,0.0843,1355.98,1.26,117,11.59,0.1089,8213.99,6.0576
2026-08-02,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,15428,1030,0.0668,820.49,0.8,72,11.4,0.0699,4563.38,5.5618
2026-08-03,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,12374,867,0.0701,953.15,1.1,40,23.83,0.0461,3215.97,3.374
2026-08-04,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,16751,1197,0.0715,724.46,0.61,84,8.62,0.0702,7944.8,10.9665
2026-08-05,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,17125,787,0.046,596.6,0.76,80,7.46,0.1017,4579.0,7.6752
2026-08-06,GADS-SRCH-101,Search | Brand Footwear,Enabled,Search,USD,8525,642,0.0753,533.57,0.83,29,18.4,0.0452,2654.24,4.9745
