Date,Campaign ID,Campaign Name,Campaign Status,Objective,Reach,Impressions,Frequency,Amount Spent,Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate),Results,Cost per Result,Purchases,Purchases Conversion Value,Purchase ROAS
2026-07-23,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,29781,40719,1.3673,129.89,369,0.35,0.0091,21,6.19,21,1556.68,11.9846
2026-07-24,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,37023,44087,1.1908,298.44,531,0.56,0.012,43,6.94,43,2198.67,7.3672
2026-07-25,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,17483,40297,2.3049,628.01,767,0.82,0.019,53,11.85,53,4721.31,7.5179
2026-07-26,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,40868,52861,1.2935,271.97,589,0.46,0.0111,27,10.07,27,1464.98,5.3865
2026-07-27,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,21297,28908,1.3574,324.57,356,0.91,0.0123,23,14.11,23,1396.07,4.3013
2026-07-28,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,19096,33149,1.7359,264.66,406,0.65,0.0122,19,13.93,19,1363.42,5.1516
2026-07-29,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,42931,53688,1.2506,309.38,459,0.67,0.0085,23,13.45,23,1357.37,4.3874
2026-07-30,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,21575,30985,1.4362,537.51,540,1.0,0.0174,35,15.36,35,1711.95,3.185
2026-07-31,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,22810,42662,1.8703,383.67,797,0.48,0.0187,49,7.83,49,3305.45,8.6153
2026-08-01,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,31397,43229,1.3769,578.26,700,0.83,0.0162,42,13.77,42,2184.62,3.7779
2026-08-02,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,28789,47803,1.6605,255.78,597,0.43,0.0125,24,10.66,24,1586.7,6.2034
2026-08-03,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,38053,57471,1.5103,1171.41,1220,0.96,0.0212,77,15.21,77,5236.95,4.4706
2026-08-04,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,31124,45612,1.4655,408.01,439,0.93,0.0096,36,11.33,36,3034.68,7.4378
2026-08-05,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,12715,25075,1.9721,258.03,391,0.66,0.0156,16,16.13,16,1022.69,3.9635
2026-08-06,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,29853,57669,1.9318,540.37,1075,0.5,0.0186,68,7.95,68,6039.6,11.1768
2026-08-07,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,23861,53712,2.251,295.09,794,0.37,0.0148,54,5.46,54,4491.17,15.2197
2026-08-08,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,22997,35379,1.5384,190.24,290,0.66,0.0082,13,14.63,13,1105.28,5.8099
2026-08-09,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,18783,32435,1.7268,304.9,313,0.97,0.0097,19,16.05,19,1511.08,4.956
2026-08-10,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,28718,58349,2.0318,573.77,806,0.71,0.0138,47,12.21,47,3200.63,5.5782
2026-08-11,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,21159,34479,1.6295,527.18,721,0.73,0.0209,60,8.79,60,5161.03,9.7899
2026-08-12,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,20372,43104,2.1158,520.22,860,0.6,0.02,66,7.88,66,3943.87,7.5812
2026-08-13,META-SALES-001,Sales | Catalog DPA,Active,OUTCOME_SALES,16739,25168,1.5036,242.59,307,0.79,0.0122,28,8.66,28,1947.24,8.0269
